Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Página do manual
Abacate,1 fatia,90,5,86,49
Abacate (picadinho),1 colher de sopa,45,3,34,49
Abacaxi,1 fatia média,75,10,44,49
Abacaxi em calda,1 fatia média,64,19,78,49
"Abacaxi, polpa, congelada",1 unidade,100,8,31,49
"Abacaxi, suco de com acucar",1 copo duplo cheio,240,25,103,49
Abadejo assado,1 filé médio,100,0,112,49
Abará,1 unidade média,170,24,414,49
Abiu cru,1 unidade,100,15,62,49
"Abóbora cabotian, cozida",1 colher de sopa,36,3,14,49
"Abóbora Cabotian, crua",1 colher de sopa,36,4,17,49
Abóbora d’água (picada),1 colher de sopa cheia,36,0,10,49
Abóbora doce (picada),1 colher de sopa cheia,36,4,18,49
Abóbora moranga (picada),1 colher de sopa cheia,36,1,7,49
Abobrinha recheada,1 unidade,100,6,89,49
"Abobrinha, italiana, cozida",1 colher de sopa,20,0,3,49
"Abobrinha, italiana, crua",1 colher de sopa,20,1,4,49
"Abobrinha, paulista, crua",1 colher de sopa,20,2,6,49
Abricó-do-pará,1 fatia média,100,13,64,49
Açafrão em pó,1 colher de sopa cheia,16,12,54,49
Açaí (polpa concentrada com farinha de mandioca),1 copo pequeno,150,85,339,49
Açaí (polpa concentrada com farinha de tapioca),1 copo pequeno,150,85,340,49
Açaí (polpa natural concentrada),1 copo pequeno,150,55,220,49
Açaí (polpa) com xarope de guaraná e glicose,1 taça pequena,100,21,110,49
Açai natural Frooty ®,1 bola,60,13,64,49
Açaí natural Frooty zero ®,1 bola,60,10,35,49
Açaí polpa congelada (sem adição de açúcar),1 unidade,100,6,58,50
"Açaí, suco de",1 copo duplo cheio,240,72,438,50
Acarajé,1 unidade média,100,22,282,50
Acelga (picada),1 colher de sopa cheia,6,0,2,50
Acém magro cozido,1 pedaço médio,100,0,215,50
Acerola,1 unidade,12,1,4,50
Achocolatado Diet Gold ®,1 colher de sopa,5,3,11,50
Achocolatado Diet Linea ®,1 colher de sopa,5,3,14,50
Achocolatado light Nescau ®,1 colher de sopa,10,8,35,50
Achocolatado light Toddy ®,1 colher de sopa,10,8,36,50
Achocolatado tradicional Nescau ®,1 colher de sopa,10,9,37,50
Achocolatado tradicional Toddy ®,1 colher de sopa,10,9,40,50
Açúcar branco refinado,1 colher de sopa cheia,30,30,116,50
Açúcar cristal,1 colher de sopa cheia,24,24,96,50
Açúcar de coco,1 colher de chá,5,5,19,50
Açúcar mascavo,1 colher de sopa cheia,19,17,70,50
Adoçante Linea Forno e Fogão,1 colher de sopa,1,1,4,50
Adoçante Tal e Qual forno e fogão,1 colher de sopa,2,2,8,50
Adoçante Use Metade Forno e Fogão,1 colher de sopa,10,9,37,50
Agrião (picado),1 colher de sopa cheia,7,0,2,50
Agriao refogado,1 colher de sopa cheia,25,1,19,50
Água de coco industrializada Sococo ®,1 copo,200,11,44,50
Água de coco verde,1 copo,200,11,44,50
Água tônica Antarctica ®,1 lata,350,17,73,51
Água tônica zero Antarctica ®,1 lata,350,0,0,51
Aguardente,1 dose,50,0,109,51
Aipim cozido (macaxeira ou mandioca),pedaço grande,100,30,120,51
Aipim frito (macaxeira ou mandioca),pedaço grande,100,50,304,51
Aipo inteiro (picado),1 colher de sopa cheia,10,0,2,51
Alcachofra cozida,1 pedaco médio,90,11,45,51
Alcaparra,1 colher de sopa cheia,27,1,10,51
Alface americana crua,1 folha média,10,0,1,51
Alface crespa crua,1 folha média,10,0,1,51
Alface lisa crua,1 folha média,10,0,1,51
Alface roxa crua,1 folha média,10,0,1,51
Alfajor ao leite Cacau Show ®,1 unidade,40,23,120,51
Alfajor recheado com doce de leite Brasil Cacau ®,1 unidade,25,15,98,51
Alfarroba em pó Carob House ®,1 colher de sopa,20,13,58,51
Alfavaca crua,1 folha média,10,0,3,51
Algodão Doce,1 unidade,30,30,116,51
Algodão doce (Mavalério),1 embalagem,35,35,140,51
Algodão doce tuti - frutti Snow Sugar ®,1/2 xícara de chá,5,5,20,51
Algodão doce uva Snow Sugar ®,1/2 xícara de chá,5,5,20,51
Alho cru,2 dentes,6,2,8,51
Alho poró cru,1 porcao pequena,20,3,11,51
All bran,1 colher de sopa cheia,9,4,23,51
Almeirão cru (picado),1 colher de sopa cheia,10,0,0,52
Almôndega bovina,1 unidade média,50,4,102,52
Ambrosia,2 colheres de sopa cheias,80,23,137,52
Ameixa de queijo,1 unidade,12,7,36,52
Ameixa preta em calda,1 unidade média,7,5,20,52
Ameixa preta fresca,1 unidade media,42,4,18,52
Ameixa preta seca,1 unidade média,5,2,9,52
Ameixa vermelha,1 unidade media,5,2,9,52
"Ameixa, passa de",1 colher de sopa cheia,15,10,44,52
Amêndoa,1 unidade média,3,1,13,52
Amendoim caramelizado,1 pacote pequeno,20,14,95,52
Amendoim cozido,2 colheres de sopa,34,7,108,52
Amendoim torrado salgado,2 colheres de sopa,34,5,194,52
"Amendoim, grão cru",2 colheres de sopa,34,5,194,52
Amido de arroz,1 colher de sopa cheia,20,17,70,52
Amido de milho,1 colher de sopa cheia,20,17,69,52
"Amora (branca, preta e vermelha)",1 unidade média,8,1,5,52
"Amora, geléia de (com açúcar)",1 colher de sopa cheia,40,23,93,52
"Amora, geléia de (Linea ®)",1 colher de sopa,20,8,23,52
Angu,1 colher de sopa cheia,35,9,44,52
Antepasto abobrinha escabeche,1 colher de sopa cheia,30,4,57,52
Antepasto alichella,1 colher de sopa cheia,30,1,106,52
Antepasto berinjela,1 colher de sopa cheia,30,4,88,52
Antepasto sardella,1 colher de sopa cheia,30,5,160,53
Apfelstrudell (folheado de maçã),1 porção grande,220,59,396,53
Apresuntado,1 fatia média,15,0,69,53
Araçá,1 colher de sopa cheia,20,3,12,53
Arroz à grega,1 colher de sopa cheia,25,7,35,53
Arroz à grega,1 colher de servir,60,18,75,53
Arroz a piamontese,1 colher de servir cheia,55,11,100,53
Arroz branco cozido,1 colher de servir arroz,45,15,74,53
Arroz branco cozido,1 colher de sopa cheia,20,6,26,53
Arroz carreteiro,1 colher de servir,45,5,70,53
Arroz com amendoas,1 colher de servir,60,18,75,53
Arroz com galinha,1 colher de sopa cheia,25,6,45,53
Arroz com lentilha,1 colher de servir cheia,55,11,80,53
Arroz com lingüiça,1 colher de servir cheia,55,11,92,53
Arroz com pequi,1 colher de servir cheia,55,13,95,53
Arroz de aveia Quaker®,1 colher de sopa,10,7,38,53
Arroz de Cabidela (ao molho pardo),! Coher de servir cheia,55,7,85,53
Arroz de cuxá,1 colher de servir cheia,55,11,66,53
Arroz doce com açúcar,1 colher de sopa cheia,40,13,66,53
Arroz integral cozido,1 colher de sopa cheia,20,5,25,53
Arroz Negro cozido,1 colher de sopa cheia,25,8,40,54
Arroz para sushi com açúcar e sal,1 colher de sopa rasa,25,7,35,54
Arroz selvagem,1 colher de servir cheia,55,12,55,54
Arroz sírio,1 colher de servir,45,13,69,54
"Arroz, farinha de",1 colher de sopa cheia,17,14,62,54
"Arroz, flocos de",1 colher de sopa cheia,14,11,49,54
Aspargo em conserva,1 unidade média,7,0,2,54
Ata (fruta do conde),1 unidade média,60,9,41,54
Ataif,1 porção,100,13,124,54
Atum em água,1 colher de sopa cheia,16,0,45,54
Aveia em flocos crua,1 colher de sopa cheia,15,10,56,54
"Aveia, farinha de (crua)",1 colher de sopa cheia,18,12,71,54
"Aveia, flocos finos Quaker ®",1 colher de sopa,15,8,52,54
Avelã,1 unidade média,1,0,6,54
Azeite de dendê industrializado,1 colher de sopa,8,0,71,54
Azeite de oliva (extra),1 colher de sopa,8,0,72,54
Azeitona preta (parte comest.),1 unidade média,3,0,7,54
Azeitona verde (parte comest.),1 unidade média,4,0,12,54
Baba de moça,1 colher de sopa cheia,30,27,150,54
Babaganuche,1 porção,100,6,84,54
Bacaba,1 copo pequeno,150,10,320,54
Bacalhau a Gomes de Sá,1 porção,100,13,151,54
Bacalhau com natas,1 porção,100,13,155,55
Bacalhau Espiritual,1 porção,100,20,216,55
Bacalhau refogado,1 porção,100,1,140,55
Bacalhoada,1 colher de sopa,30,2,51,55
Bacallhau cozido,1 escumadeira média,60,0,88,55
Bacon,1 fatia média,15,0,99,55
Bacon Baked Potato ®,1 concha,20,0,92,55
Baconzitos (Elma Chips®),1 xícara,17,9,82,55
Bacuri,1 unidade média (polpa),90,0,870,55
Baguete congelada Qualitá ®,1 unidade pequena,50,25,124,55
Baião de dois,1 escumadeira cheia,100,20,136,55
Bala 7 belo ®,1 unidade,5,4,20,55
Bala de banana,1 unidade,17,4,15,55
Bala de caramelo Embare ®,1 unidade,6,5,27,55
Bala de coco,1 unidade,5,5,20,55
Bala de goma,1 unidade,3,3,11,55
Bala de mel Arcor ®,1 unidade,6,6,22,55
Bala Delícia,1 unidade,5,4,20,55
Bala Fini bananas ®,1 unidade,6,5,21,55
Bala Fini beijos ®,1 unidade,7,6,24,55
Bala Fini dentaduras ®,1 unidade,6,5,21,55
Bala Fini minhoca ®,1 unidade,6,5,21,55
Bala Fini tubinhos ®,1 unidade,6,6,26,55
Bala Halls ®,1 unidade,3,3,13,55
Bala Jujuba,1 unidade,3,3,12,55
Bala macia,1 unidade,5,5,20,55
Bala mentos mint ®,1 unidade,3,2,10,55
Bala mentos rainbow ®,1 unidade,3,2,9,55
Bala Tic Tac ®,1 caixa,16,16,63,56
Bala Toffees Chocolate Arcor ®,1 unidade,7,4,31,56
Bala yogurte ®,1 unidade,5,4,19,56
"Bambu, brotos de",1 pires de chá,10,0,3,56
Banana à milanesa,1 unidade média,100,24,185,56
Banana caramelada,1 unidade média,50,29,114,56
Banana caturra ou Nanica,1 unidade média,86,20,79,56
Banana da terra crua,1 unidade grande,100,27,117,56
Banana frita da terra,1 fatia media,31,10,68,56
Banana maçã,1 unidade média,65,17,72,56
Banana ouro,1 unidade média,40,9,42,56
Banana pacova madura cozida sem casca,1 colher de sopa cheia,35,12,48,56
Banana pacova madura frita (picada),1 colher de sopa cheia,35,18,96,56
Banana pacova madura in natura (picada),1 colher de sopa cheia,30,11,45,56
Banana pacova verde frita,1 colher de sopa cheia,35,30,138,56
Banana prata crua,1 unidade média,55,14,54,56
Banana prata crua,1 unidade pequena,40,10,39,56
Bananada,1 unidade media,40,27,115,56
Banha de porco,1 colher de sopa cheia,10,0,90,56
Barra de cereais 3 grãos integrais choconut Línea ®,1 unidade,20,11,73,56
Barra de cereais 3 grãos integrais zero açúcar sabor banana com aveia Línea®,1 unidade,20,13,63,56
Barra de cereais 3 grãos integrais zero açúcar sabor cookies’s cream Línea®,1 unidade,20,13,70,56
Barra de cereais zero açúcar sabor banana + nozes &Joy®,1 unidade,25,"8,7",115,58
Barra de cereais zero açúcar sabor brownie Ritter®,1 unidade,25,16,97,58
Barra de cereais zero açúcar sabor caramelo salgado e chocolate branco Ritter®,1 unidade,22,14,94,58
Barra de cereais zero açúcar sabor mocca café e chocolate branco Ritter®,1 unidade,22,15,91,58
Barra de cereais zero açúcar sabor morango e chocolate branco Ritter®,1 unidade,22,15,90,58
Barra de cereais zero açúcar sabor morango e chocolate Trio®,1 unidade,20,"9,3",140,58
"Barra de cereal Banana, Aveia e Mel Light TAEQ ®",1 unidade,22,14,71,58
Barra de cereal comum (média),1 unidade,25,18,97,58
Barra de cereal diet (média),1 unidade,25,15,67,58
Barra de cereal light (média),1 unidade,25,16,75,58
Barra de Cereal Nuts Original Nutry ®,1 unidade,30,11,158,58
Barra de frutas (Supino) ®,1 unidade,24,17,86,58
Barra de frutas proteica (Supino) ®,1 unidade,30,12,86,58
Barra de frutas zero açúcar (Supino) ®,1 unidade,24,17,84,58
Barra de proteína 7 grãos amedoim Da Magrinha®,1 unidade,15,"6,8",68,58
Barra de proteína 7 grãos cacau Da Magrinha®,1 unidade,15,6,69,58
Barra de Proteina zero adição de açúcar Crunch sabor cookies & cream Bold®,1 unidade,54,14,170,58
Barra de Proteina zero adição de açúcar Crunch sabor morango e chantlly Bold®,1 unidade,50,14,174,59
Barra de Proteina zero adição de açúcar sabor pistache Bold®,1 unidade,60,17,240,59
Barra de Proteina zero adição de açúcar sabores YoPro Nutrata®,1 unidade,55,15,229,59
Barra de Proteina zero adição de açúcar Thin sabor avelã branco Bold®,1 unidade,40,12,149,59
Barra de Proteina zero adição de açúcar Thin sabor bonbom de coco Bold®,1 unidade,40,12,151,59
Barra de Proteina zero adição de açúcar Thin sabor caramelo crocante Bold®,1 unidade,40,12,141,59
Barra de Proteina zero adição de açúcar Thin sabor caramelo e amendoim Bold®,1 unidade,40,12,144,59
Barra de Proteina zero adição de açúcar Thin sabor cookies & cream Bold®,1 unidade,40,12,139,59
Barra de proteínas (média),1 unidade,30,10,100,59
Barra de proteínas plant based (Essential) ®,1 unidade,50,11,183,59
Barra nuts castanhas e sementes (Banana Brasil) ®,1 unidade,25,9,132,59
Barra nuts castanhas e sementes zero açúcar (Banana Brasil) ®,1 unidade,25,9,132,59
"Barra nuts castanhas, cacau e coco (Banana Brasil) ®",1 unidade,25,8,123,59
Barra proteica zero açúcar sabor amemndoim com chocolate Win Stage®,1 unidade,54,20,202,60
Barra proteica zero açúcar sabor banana com chocolate Win Stage®,1 unidade,54,21,210,60
Barra proteica zero açúcar sabor banana com chocolate Win Stage®,1 unidade,54,20,204,60
Barra proteica zero açúcar sabor chocolate com amendoas Win Stage®,1 unidade,54,21,202,60
Barra proteica zero açúcar sabor chocolate com avelâ Win Stage®,1 unidade,54,24,202,60
Barra proteica zero açúcar sabor morago Win Stage®,1 unidade,54,22,205,60
Barra proteica zero açúcar sabor vanilla coffe Win Stage®,1 unidade,54,20,202,60
Batata (Baked Potato),1 unidade,470,83,369,60
Batata doce amarela assada (picada),1 colher de sopa cheia,30,10,43,60
Batata doce branca cozida (picada),1 colher de sopa cheia,30,8,38,60
Batata doce cozida,1 colher sopa cheia,42,10,43,60
Batata doce frita,1 fatia media,65,39,249,60
"Batata doce, doce de",1 colher de sopa cheia,40,24,94,60
Batata frita Burguer King ®,1 porção média,0,37,320,60
Batata frita canoa Bob’s ®,1 porção média,0,46,307,60
Batata frita chips,1 punhado,13,6,70,60
Batata frita Habib’s ®,1 porção média,100,33,252,60
Batata frita palito Bob’s ®,1 porção média,0,41,259,60
Batata fritas Mc’ Donalds ®,1 porção média,0,35,295,60
Batata fritas McFritas Kids Mc’ Donalds ®,1 porção,0,11,87,60
Batata inglesa cozida,1 colher de sopa cheia,30,6,26,61
Batata inglesa frita,1 escumadeira media cheia,65,23,182,61
Batata inglesa Sauté,1 colher de sopa cheia,25,4,37,61
Batata palha,Colher de sopa cheia,13,6,78,61
Batata palha,1 xícara de chá,30,13,180,61
Batata pringles ®,14 unidades,25,13,131,61
Batata smiles Mccain ®,1 unidade,21,7,42,61
"Batata, amido de",1 colher de sopa cheia,16,13,53,61
"Batata, fécula de",1 colher de sopa cheia,20,16,66,61
Batata-baroa ou mandioquinha (picada),1 colher de sopa,30,5,33,61
Baton (chocolate ao leite Garoto),1 unidade,16,9,86,61
Beijinho,1 unidade,25,11,105,61
Beijinho,1 unidade pequena,6,3,25,61
Beijinho diet,1 unidade pequena,6,2,20,61
Beijinho-de-coco Nestle,1 colher de sopa,20,11,63,61
Beiju,1 unidade media,100,87,359,61
Beiju com Coco,1 unidade grande,125,77,622,61
Beiju de queijo com manteiga,1 unidade média,150,87,518,61
Beirute de frango crocante Habib’s ®,1 unidade,553,84,1269,61
Beirute Habibão Habib’s ®,1 unidade,636,45,1709,61
Beirute tradicional de rosbife Habib’s ®,1 unidade,418,56,919,61
Bekleua,1 porção,100,20,290,61
Bem casado,1 unidade,40,25,160,61
Berinjela cozida sem sal,1 colher de sopa cheia,25,2,8,61
Berinjela ensopada,1 escumadeira media rasa,75,6,56,62
Berinjela frita,1 rodela média,13,1,10,62
Bertalha refogada,1 pires,100,4,45,62
Beterraba cozida (picada),1 colher de sopa cheia,20,2,9,62
Beterraba crua,1 colher de sopa cheia,16,1,7,62
Bib’s Cebola Caramelizada Habib’s ®,1 unidade,266,37,938,62
Bib’s Chicken BBQ Habib’s ®,1 unidade,289,59,676,62
Bib’s Classic Burger Habib’s ®,1 unidade,276,40,891,62
Bib’Sfiha Cheddar Burger Habib’s ®,1 unidade,296,34,985,62
Bib’Sfiha Salad Burger Habib’s ®,1 unidade,327,36,973,62
Bib’s salada bacon Habib’s ®,1 unidade,271,29,876,62
Bib’sfiha de Calabresa com mussarela Habib’s ®,1 unidade,70,19,186,62
Bib’sfiha de Carne Habib’s ®,1 unidade,75,23,193,62
Bib’sfiha de Frango Habib’s ®,1 unidade,75,23,180,62
Bib’sfiha de Queijo Habib’s ®,1 unidade,70,22,210,62
Bife à milanesa,1 unidade media,80,8,230,62
Bife à parmegiana,1 unidade média,150,13,490,62
Bife à Role,1 unidade grande,150,4,268,62
Bife de boi,1 unidade média,100,0,228,62
Bife de fígado,1 unidade média,100,6,216,62
Big Bob Bob’s ®,1 unidade,0,38,509,62
Big Bob frango Bob’s ®,1 unidade,0,38,494,62
Big Bob Veggie Carne ®,1 unidade,0,42,491,62
Big Mac McDonald’s ®,1 unidade,210,41,503,62
Big Tasty McDonald’s ®,1 unidade,337,41,837,62
Bis Lacta ®,1 unidade,6,4,31,62
Biscoito 7 grãos Da Magrinha® (média dos sabores),1 unidade,5,3,17,63
Biscoito amanteigado banana e canela,1 unidade,5,4,25,63
Biscoito Cracker 7 grãos Da Magrinha® (média dos sabores),1 unidade,4,2,12,63
Biscoito cream cracker (média),1 unidade,5,4,22,63
Biscoito de água e sal,1 unidade,8,5,34,63
Biscoito de arroz (Camil),1 unidade pequena,2,2,9,63
Biscoito de arroz Jasmine ®,1 unidade grande,6,5,23,63
Biscoito de aveia e mel Nestlé ®,1 unidade,6,4,26,63
Biscoito de castanha do Pará,1 unidade,9,7,46,63
Biscoito de coco Piraquê ®,1 unidade,5,3,23,63
Biscoito de polvilho (rosquinha),1 unidade,3,2,13,63
Biscoito de proteína sabor amendoim WheyViv®,1 pacotinho,45,12,142,63
Biscoito de proteína sabor amendoim WheyViv®,1 unidade,4,1,12,63
Biscoito de proteína sabor banana com canela WheyViv®,1 pacotinho,45,10,136,63
Biscoito de proteína sabor banana com canela WheyViv®,1 unidade,4,1,11,63
Biscoito de proteína sabor chocolate WheyViv®,1 pacotinho,45,14,135,63
Biscoito de proteína sabor chocolate WheyViv®,1 unidade,4,2,11,63
Biscoito de proteína sabor coco WheyViv®,1 pacotinho,45,14,137,63
Biscoito de proteína sabor cookies WheyViv®,1 pacotinho,45,16,135,63
Biscoito de proteína sabor cookies WheyViv®,1 unidade,5,2,14,64
Biscoito de proteína sabor gergelim WheyViv®,1 pacotinho,45,12,151,64
Biscoito de proteína sabor suspiro WheyViv®,1 pacotinho,25,6,66,64
Biscoito de proteína sabor suspiro WheyViv®,1 unidade,1,0,2,64
Biscoito de queijo,1 unidade,12,6,51,64
Biscoito leite maltado Piraquê ®,1 unidade,5,3,23,64
Biscoito maçã e canela nesfit ®,1 unidade,5,3,22,64
Biscoito maisena Nestlé ®,1 unidade,5,4,22,64
Biscoito maisena zero açúcar Lowçucar®,1 unidade,4,3,15,64
Biscoito maria Nestlé ®,1 unidade,6,4,26,64
Biscoito maria zero açúcar Lowçucar®,1 unidade,8,3,19,64
Biscoito passatempo coberto com chocolate Nestlé ®,1 unidade,10,7,46,64
Biscoito passatempo recheio chocolate Nestlé ®,1 unidade,10,8,45,64
Biscoito passatempo recheio doce de leite Nestlé ®,1 unidade,10,7,46,64
Biscoito passatempo recheio morango Nestlé ®,1 unidade,10,8,45,64
Biscoito passatempo sem recheio ®,1 unidade,6,4,22,64
Biscoito prestígio recheado São Luiz Nestlé ®,1 unidade,15,10,71,64
Biscoito prestígio wafer Nestlé ®,1 unidade,8,5,43,64
Biscoito Protein cookie 7 grãos Da Magrinha® (média dos sabores),1 unidade mini,3,2,14,64
Biscoito recheado bono chocolate Nestlé ®,1 unidade,10,6,46,65
Biscoito recheado chocolate (média),1 unidade,13,9,62,65
Biscoito salgado gergelim Piraquê ®,1 unidade,10,5,32,65
Biscoito tipo cookie gotas de chocolate bauduco ®,1 unidade,10,6,51,65
Biscoito tipo cookie nescau due nestlé ®,1 pacote,20,13,97,65
Biscoito tipo wafer (média),1 unidade,7,5,38,65
Biscoito tostines cream cracker São Luiz Nestle ®,1 unidade,8,5,37,65
Biscoito tostines leite ®,1 unidade,8,6,37,65
Biscoitos de farinha integral,1 unidade,10,7,40,65
Biscoitos de glúten a 40%,1 unidade,10,3,29,65
Biscoitos de glúten puro,1 unidade,10,8,35,65
Biscoitos doces,1 unidade,8,6,33,65
Bisnaguinha integral Wickbold ®,1 unidade,17,8,46,65
Bisnaguinha Pullman,1 unidade,20,11,62,65
Bisnaguinha Seven Boys ®,1 unidade,17,9,48,65
BK Burger do BK burger king ®,1 unidade,0,31,678,65
BK Chicken Crispy burger king ®,1 unidade,0,42,406,65
BK original burger king ®,1 unidade,0,32,714,65
BK original cheddar burger king ®,1 unidade,0,33,541,65
Blanquet de peru sadia ®,4 fatias,60,3,57,65
Blis Frutas Vermelhas,1 unidade,180,29,158,65
Bliss morango,1 unidade,200,31,168,65
Bloody Mary,1 coquetel,148,5,123,65
Bob’s Burgão ®,1 unidade,0,51,779,65
Bob’s burguer ®,1 unidade,0,28,661,65
Bob’s burguer celebrativo ®,1 unidade,0,35,279,66
Bob’s burguer frango ®,1 unidade,0,31,286,66
Bob’s burguer veggie carne ®,1 unidade,0,31,301,66
Bob’s chedar ®,1 unidade,0,27,267,66
Bob’s costela ®,1 unidade,0,52,725,66
Bob’s Premium ®,1 unidade,0,29,845,66
Bolacha de nata Panco ®,1 unidade,5,4,22,66
Bolacha sabor chocolate trakinas ®,1 unidade,10,8,48,66
Bolacha sabor mais morango Trakinas ®,1 unidade,10,8,49,66
Bolacha sabor meio chocolate ao leite meio chocolate branco trakinas ®,1 unidade,10,8,48,66
Bolinha de queijo,1 unidade pequena,10,3,27,66
Bolinho de aipim com carne seca,1 unidade média,45,12,86,66
Bolinho de arroz,1 unidade,40,20,164,66
Bolinho de bacalhau,1 unidade media,15,3,42,66
Bolinho de bacalhau Habib’s ®,1 unidade,30,5,87,66
Bolinho de carne,1 unidade,50,8,67,66
Bolinho de Carne,1 unidade,50,8,67,66
Bolinho de Chuva,1 unidade pequena,30,13,81,66
Bolinho de estudante (Bolinho Ana Maria),1 unidade média,80,49,292,66
Bolinho de Presunto e Queijo,1 unidade,50,12,73,66
Bolinho de Queijo,1 unidade,50,16,137,66
Bolinho de soja tipo salsicha (Ta’amti) - Albee ®,4 unidades,90,28,232,66
Bolo alemão,1 fatia,60,30,227,66
Bolo comum baunilha Dona Benta ®,1 fatia média,60,30,143,66
Bolo comum com glacê e recheio,1 fatia média,100,65,384,67
Bolo de aipim com coco,1 fatia media,80,37,243,67
Bolo de aipim Dona Benta ®,1 fatia média,60,33,147,67
Bolo de arroz,1 fatia média,70,39,197,67
Bolo de banana,1 fatia média,70,33,211,67
Bolo de batata-doce,1 fatia média,90,43,292,67
Bolo de Brigadeiro,1 fatia pequena,50,20,147,67
Bolo de brigadeiro Dona Benta ®,1 fatia média,60,28,147,67
Bolo de brigadeiro recheado (doceria/festa),1 fatia pequena,100,55,352,67
Bolo de brownie Dona Benta ®,1 fatia média,60,36,155,67
Bolo de casamento,1 fatia pequena,75,42,285,67
Bolo de cenoura,1 fatia média,60,38,227,67
Bolo de cenoura Dona Benta ®,1 fatia média,60,28,121,67
Bolo de cenoura Fleischmann ®,1 fatia média,60,30,133,67
Bolo de chocolate (recheio/ cobertura),1 fatia média,100,54,320,67
Bolo de chocolate com avelã Dona Benta ®,1 fatia média,60,29,152,67
Bolo de chocolate Dona Benta ®,1 fatia média,60,30,145,67
Bolo de Chocolate e Nozes,1 fatia pequena,50,17,175,67
Bolo de chocolate sem glacê,1 fatia média,60,34,306,67
Bolo de coco,1 fatia grande,100,54,317,67
Bolo de coco Dona Benta ®,1 fatia média,60,30,143,67
Bolo de festa (recheio/ cobertura),1 fatia média,100,54,320,67
Bolo de festa diet (recheio/ cobertura),1 fatia média,80,20,220,67
Bolo de fubá,1 fatia média,50,20,160,68
Bolo de fubá Dona Benta ®,1 fatia média,60,30,140,68
Bolo de laranja Dona Benta ®,1 fatia média,60,30,143,68
Bolo de limão,1 fatia média,60,37,233,68
Bolo de mandioca (aipim),1 pedaço grande,100,48,324,68
Bolo de milho,1 fatia média,60,32,174,68
Bolo de milho Dona Benta ®,1 fatia média,60,30,143,68
Bolo de nozes,1 fatia média,50,28,200,68
Bolo Floresta Branca com Cereja,1 fatia média,100,38,366,68
Bolo Floresta Negra com Morango,1 fatia média,100,20,212,68
Bolo Merengue,1 fatia pequena,50,11,116,68
Bolo Mousse de Chocolate,1 fatia pequena,50,20,173,68
Bolo mousse de chocolate (doceria),1 fatia pequena,60,23,185,68
Bolo mousse de chocolate Dona Benta ®,1 fatia média,60,27,128,68
Bolo petit gateau Dona Benta ®,1 fatia média,60,29,142,68
Bolo simples (sem cobertura),1 fatia média,60,31,214,68
Bolo simples diet (sem cobertura),1 fatia média,60,21,154,68
Bomba de chocolate,1 unidade,48,9,163,68
Bombom Alpino ®,1 unidade,13,8,70,68
Bombom Avelã zero açúcar Kopenhagen ®,1 unidade,20,9,112,68
Bombom banana Caribe Garoto ®,1 unidade,17,12,65,68
Bombom charge Nestlé ®,1 unidade,40,23,195,68
Bombom chokito Nestlé ®,1 unidade,32,24,140,68
Bombom Copinho de Torrone ®,1 unidade,10,6,54,68
Bombom de Brigadeiro Florybal ®,1 unidade,15,7,74,69
Bombom diet Cacau Show ®,1 unidade,13,13,122,69
Bombom Ferrero Rocher ®,1 unidade,12,6,75,69
Bombom Flocos,1 unidade,10,6,52,69
Bombom It coco Garoto ®,1 unidade,17,11,80,69
Bombom lajotinha Kopenhagen ®,1 e 1/4 unidades,25,12,141,69
Bombom língua de gato zero açúcar Kopenhagen ®,1 e 1/4 unidades,25,11,139,69
Bombom nhá benta kopenhagen ®,1 unidade,15,7,71,69
Bombom Ouro Branco ®,1 unidade,20,12,104,69
Bombom prestígio Nestle ®,1 unidade,32,22,152,69
Bombom Raffaello ®,1 unidade,10,4,62,69
Bombom Sonho de Valsa ®,1 unidade,20,13,105,69
Bombom Trufa de Cereja,1 unidade,10,6,45,69
Bombom truffa de creme de cereja Cacau Show ®,1 unidade,25,12,123,69
Brezel (Pretzel),17 unidades pequenos,28,23,110,69
Brigadeiro,1 unidade pequena,15,9,60,69
Brigadeiro,1 unidade média,30,16,103,69
Brigadeiro de chocolate meio amargo,1 unidade média,30,20,99,69
Brigadeiro de Flocos,1 unidade,15,9,60,69
Brigadeiro de Morango,1 unidade,15,9,60,69
Brigadeiro diet,1 unidade pequena,10,4,25,69
Broa de Milho,1 unidade,50,25,128,69
Brócolis com cottage (Baked Potato),1 concha,80,3,31,69
Brócolis cozido (picado),1 colher de sopa cheia,10,0,4,69
Buchada de bode,1 colher de sopa,25,1,32,69
Burger King ®,1 unidade,197,32,458,69
Buriti,3 unidades,9,1,15,70
Cação em posta cozido,1 posta média,100,0,116,70
Cacau em pó,1 colher de Sopa,10,2,8,70
Cacau em pó Mãe Terra®,1 colher de sopa,10,2,23,70
Cachaça,1 dose,50,0,115,70
Cachorro quente (média),1 unidade,125,31,330,70
Café coado com açúcar,1 xícara de café,50,5,19,70
Café coado com açúcar,1 xícara de chá,200,20,76,70
Café coado sem açúcar,1 xícara de café,50,0,4,70
Café com leite 3 corações® (cápsula),1 cápsula,9,5,37,70
Café com leite com açúcar,1 xícara de chá cheia,200,17,128,70
Café com leite sem açúcar,1 xícara de chá cheia,200,7,88,70
Café expresso 3 corações® (cápsula),1 cápsula,8,0,0,70
Café solúvel,1 colher de sopa,4,1,4,70
Café solúvel,1 colher de chá,1,0,0,70
